id,title,author,genre,publisher,year
21778,Call of Duty: World at War,Elmer Parker,Mythopoeia,Orion Books,2003
21374,WarioWare: Touched!,Ms. Kami Prosacco,Mythology,St. Martin's Press,1951
21457,Titanic: Music from the Motion Picture,Zoila Christiansen,Historical fiction,"Farrar, Straus & Giroux",2009
21881,Flashdance: Original Soundtrack from the Motion Picture,"Joseph Raynor, Ja Ankunding II",Metafiction,Pen and Sword Books,2024
21446,Riot!,Louanne Cruickshank,Mystery,Bellevue Literary Press,1987
22052,Cidade de Deus,Johnny Russel,Reference book,Gay Men's Press,1979
21952,The Yellow Meads of Asphodel,Teresia Fisher,Mystery,Black Library,2000
21583,Citizen Kane,"Sen. Jackson Gutmann, Shelby Willms IV",Suspense/Thriller,University of Chicago Press,1884
21936,Quo Vadis,Sue Stark,Fairy tale,Gefen Publishing House,2019
21969,Left 4 Dead,Msgr. Marjorie Koepp,Horror,Medknow Publications,2013
21605,The Usual Suspects,"Dianne Jakubowski, Cheree Welch",Mystery,Fairview Press,1999
21975,Pokémon Omega Ruby,Kirsten Schaefer,Fantasy,Hay House,1994
21513,Counter-Strike: Source,Tegan Runolfsdottir,Speech,George Routledge & Sons,2001
21570,Star Wars: Episode VIII – The Last Jedi,Refugio Zboncak PhD,Narrative nonfiction,Tate Publishing & Enterprises,1913
21632,Surprised by Joy,Rico Zemlak,Tall tale,Zed Books,1997
21359,Mary and Max,"Deborah Grant, Roman Osinski Sr., Shanti Hand",Essay,Harper & Row,1911
21788,The Deer Hunter,Richie Gislason,Fiction in verse,Academic Press,2019
22004,Gladiator,Kristeen Kessler CPA,Fanfiction,Macmillan Publishers,2010
21460,Some Buried Caesar,"Adell Considine, Leana Feil, Sen. Vonnie Jerde",Realistic fiction,Unknown,2010
22034,Carrion Comfort,Chara Morissette,Classic,Edupedia Publications,2014
21640,Perfect Dark,Adelia Lind,Tall tale,Penguin Books,2016
21763,Inglourious Basterds,Kylee Smith,Legend,Gaspereau Press,1985
21783,Fair Stood the Wind for France,Raul Hoppe,Reference book,Target Books,2024
21734,The Way Through the Woods,Felicita White DO,Fanfiction,HarperCollins,1979
21996,Gone with the Wind,Sen. Jackson Gutmann,Classic,Vintage Books,1995
21411,Grim Fandango,Amb. Nannie Labadie,Short story,Heyday Books,2010
22055,Beyond the Mexique Bay,"Reginia Weissnat, Miss Wade Lebsack",Classic,Ballantine Books,1984
21551,Snatch,Rep. Vern Turcotte,Classic,Shambhala Publications,2026
21296,Forrest Gump,Boris Schowalter CPA,Mythology,Unknown,2002
21529,Pale Kings and Princes,Danilo Zieme,Narrative nonfiction,Fearless Books,1900
21972,Brothers in Arms,Fletcher Upton,Science fiction,New English Library,1998
21730,Pokémon HeartGold,Dominique Sipes,Metafiction,Athabasca University Press,2013
21846,Thief II,Haywood Wyman,Tall tale,Del Rey Books,2006
21608,Inception,"Delois Koss, Sid Oberbrunner, Catrina Roob PhD",Historical fiction,Gefen Publishing House,1997
21595,Network,Zackary Carter,Fairy tale,Koren Publishers Jerusalem,1998
21395,His Dark Materials,Msgr. Mohammad Koelpin,Fiction in verse,Bowes & Bowes,1989
21415,The Matrix,Carin Christiansen,Narrative nonfiction,FabJob,1983
21507,Spotlight,"Enrique Gislason, Sean Harvey III, Glenna Huel",Essay,Addison-Wesley,1984
21818,Pokémon Black 2,Kasey Effertz,Folklore,Pen and Sword Books,1989
21441,The Godfather,"Edmundo Oberbrunner, Bernard Bayer, Amb. Elia Lebsack",Essay,George Routledge & Sons,1937
21963,A Catskill Eagle,Anton Toy,Narrative nonfiction,Atlas Press,2017
21726,Touch of Evil,"Selena Schroeder, Roland Murray",Narrative nonfiction,Ballantine Books,1988
21899,Blood's a Rover,"Sean Kassulke, Rosann Wolf VM",Crime/Detective,Felony & Mayhem Press,1976
21398,Dead Poets Society,"Anton Toy, Tabetha Johnston",Fantasy,Dedalus Books,2002
21302,Stand by Me,Emile Koepp DO,Fiction in verse,Nauka,1992
21423,"Those Barren Leaves, Thrones, Dominations",Freddie Weissnat,Metafiction,Simon & Schuster,2018
21903,The Far-Distant Oxus,Cruz Abshire MD,Western,UCL Press,1980
21918,Number the Stars,Candis Ledner Sr.,Humor,Manning Publications,1976
21485,Brütal Legend,Abigail Reynolds,Suspense/Thriller,Felony & Mayhem Press,1980
21617,The Silence of the Lambs,Dr. Pat Kunze,Mythology,Eel Pie Publishing,1979
22036,Mario Kart 8 Deluxe,Shanelle Upton,Fantasy,George Newnes,2017
21974,Far From the Madding Crowd,Matthew Boehm,Realistic fiction,St. Martin's Press,2013
21868,Spice,"Gov. Boyce Franecki, Odell Treutel",Fable,Black Sparrow Books,1995
21386,Doom 3: BFG,"Lavon Langosh, Msgr. Juan Beer, Garth Heidenreich",Mystery,Dedalus Books,1972
21531,Whiplash,Salvatore Mills,Horror,Edupedia Publications,2008
22049,Hotel California,Farah Rohan II,Realistic fiction,Black Library,1990
21871,Banjo-Kazooie: Grunty's Revenge,Karisa Kozey,Narrative nonfiction,Eerdmans Publishing,1978
21920,Casino,Marlon Casper,Science fiction,"Harry N. Abrams, Inc.",1993
22005,Life is Strange,"Era Hodkiewicz, Miss Bok Barrows, Jeffery Leuschke PhD",Western,Del Rey Books,2021
21953,The Witcher,Bennett Raynor,Crime/Detective,Pen and Sword Books,2018
21747,Let Us Now Praise Famous Men,Sook Halvorson,Speech,Macmillan Publishers,1959
21869,Call of Duty: Black Ops 4,Sanjuana Bernier,Science fiction,United States Government Publishing Office,1991
21901,Wildfire at Midnight,Valery Schimmel,Humor,Daedalus Publishing,2007
21618,Pokémon Sun,Miss Ward Farrell,Horror,Hay House,2002
21827,The Sixth Sense,Mireya Schroeder,Realistic fiction,Reed Elsevier,2002
21723,Rush,Billy Dare,Fairy tale,Anvil Press Poetry,2011
22001,Pokémon Sapphire,Amb. Amberly Beatty,Fanfiction,Golden Cockerel Press,1992
21495,I Sing the Body Electric,Hoyt Jacobson III,Textbook,Hodder Headline,1996
21780,Clannad,Trevor Turner,Fiction in verse,Mascot Books,2023
21921,The Wizard of Oz,Rocky Erdman,Comic/Graphic Novel,Athabasca University Press,1984
21648,Call of Duty: Modern Warfare 3,"Alphonso Gulgowski, Josette Nikolaus DC, Mercedez Welch",Tall tale,George Routledge & Sons,1843
